Date,Area Name,Road/Intersection Name,Traffic Volume,Average Speed,Travel Time Index,Congestion Level,Road Capacity Utilization,Incident Reports,Environmental Impact,Public Transport Usage,Traffic Signal Compliance,Parking Usage,Pedestrian and Cyclist Count,Weather Conditions,Roadwork and Construction Activity,Year,Month,Day_of_Week,Day_Name,Is_Weekend,Quarter,Day_of_Month,Traffic Volume_Lag1,Traffic Volume_Lag7,Traffic Volume_Rolling7,Congestion Level_Lag1,Congestion Level_Lag7,Congestion Level_Rolling7,Average Speed_Lag1,Average Speed_Lag7,Average Speed_Rolling7,Speed_Volume_Ratio,Congestion_per_Incident,Road_Avg_Congestion,Area_Avg_Congestion,Congestion_Deviation
2022-01-21,Indiranagar,100 Feet Road,37614,36.84247913944103,1.5,100.0,100.0,1,125.228,11.533933014250628,72.04184311337252,75.13156213150653,79,Overcast,No,2022,1,4,Friday,0,1,21,34920.0,11371.0,30001.14285714286,100.0,31.197460401979253,82.17377372734586,21.739523139179617,51.02477209439482,45.631068487490474,0.9794884654501259,50.0,87.10741519077256,87.64189020088799,12.892584809227444
2022-01-22,Indiranagar,100 Feet Road,38113,42.89056687375519,1.5,100.0,100.0,1,126.226,53.43316495363794,89.69012748796348,58.49405030253676,90,Fog,No,2022,1,5,Saturday,1,1,22,37614.0,24545.0,33750.142857142855,100.0,74.0364560509363,92.00270795563453,36.84247913944103,51.50381788721268,43.60502663678278,1.1253526847468105,50.0,87.10741519077256,87.64189020088799,12.892584809227444
2022-01-23,Indiranagar,100 Feet Road,32690,31.874572628998354,1.5,100.0,100.0,3,115.38,13.639254638439525,61.269750614919545,71.16675720765987,83,Overcast,No,2022,1,6,Sunday,1,1,23,38113.0,20081.0,35688.42857142857,100.0,69.98249963850546,95.71178566264363,42.89056687375519,52.32649360729083,42.37456220628885,0.9750557549402985,25.0,87.10741519077256,87.64189020088799,12.892584809227444
2022-01-24,Indiranagar,100 Feet Road,12829,44.72668065893907,1.0160236476202775,38.5925516032092,61.22040936205703,0,75.658,73.59041863155628,78.7227621693716,73.31497064699094,211,Clear,No,2022,1,0,Monday,0,1,24,32690.0,37666.0,37489.71428571428,100.0,100.0,100.0,31.874572628998354,35.895806812552486,39.452859209389935,3.4863731123968402,38.5925516032092,87.10741519077256,87.64189020088799,-48.514863587563354
2022-01-25,Indiranagar,100 Feet Road,20961,20.0,1.336363484161163,64.29477392892129,100.0,2,91.922,42.13868163006767,72.13143563397132,96.6277439209656,105,Clear,No,2022,1,1,Tuesday,0,1,25,12829.0,43778.0,33941.57142857143,38.5925516032092,100.0,91.22750737188701,44.72668065893907,45.58484543530325,40.71441261601659,0.9541529507180002,21.431591309640428,87.10741519077256,87.64189020088799,-22.81264126185127
2022-01-26,Indiranagar,100 Feet Road,22812,43.93778506157989,1.0157567334771278,77.5189973213802,100.0,0,95.624,50.827667461878974,60.4521014635609,89.36859790746365,94,Clear,No,2022,1,2,Wednesday,0,1,26,20961.0,37647.0,30682.0,64.29477392892129,100.0,86.12676079030436,20.0,61.34222043649959,37.05943469668755,1.926082108608622,77.5189973213802,87.10741519077256,87.64189020088799,-9.588417869392359
2022-01-27,Indiranagar,100 Feet Road,50653,27.757534679416597,1.5,100.0,100.0,0,151.30599999999998,18.81686374655508,99.16606220402464,83.69194491350024,112,Rain,No,2022,1,3,Thursday,0,1,27,22812.0,34920.0,28562.714285714286,77.5189973213802,100.0,82.91518897907295,43.93778506157989,21.739523139179617,34.573086785984735,0.5479938933412947,100.0,87.10741519077256,87.64189020088799,12.892584809227444
2022-01-28,Indiranagar,100 Feet Road,22144,42.60623148491085,1.3533094405704895,72.10984644376038,100.0,3,94.288,66.96063406055592,97.62015811517612,82.4382693079693,124,Clear,No,2022,1,4,Friday,0,1,28,50653.0,37614.0,30810.285714285714,100.0,100.0,82.91518897907295,27.757534679416597,36.84247913944103,35.4328027203043,1.9240530836755263,18.027461610940094,87.10741519077256,87.64189020088799,-14.997568747012181
2022-01-29,Indiranagar,100 Feet Road,21212,39.33871411392432,1.03878626838617,64.28729941549834,100.0,1,92.424,43.25629110067376,96.89737134624498,53.63674738893342,93,Fog,No,2022,1,5,Saturday,1,1,29,22144.0,38113.0,28600.285714285714,72.10984644376038,100.0,78.93088132818158,42.60623148491085,42.89056687375519,36.25619591251428,1.8545499770848726,32.14364970774917,87.10741519077256,87.64189020088799,-22.820115775274218
2022-01-30,Indiranagar,100 Feet Road,46490,42.17283581158776,1.5,100.0,100.0,1,142.98000000000002,58.32259928305103,97.80096258322274,84.12702393835785,95,Rain,No,2022,1,6,Sunday,1,1,30,21212.0,32690.0,26185.85714285714,64.28729941549834,100.0,73.82906695896705,39.33871411392432,31.874572628998354,35.748788375395584,0.9071377890210316,50.0,87.10741519077256,87.64189020088799,12.892584809227444
2022-01-31,Indiranagar,100 Feet Road,22992,44.05376207350711,1.109595239787989,85.75298934532978,100.0,1,95.984,22.53664575297271,75.6887117373416,97.38898489846147,88,Clear,No,2022,1,0,Monday,0,1,31,46490.0,12829.0,28157.285714285714,100.0,38.5925516032092,73.82906695896705,42.17283581158776,44.72668065893907,37.21996883005121,1.9160474109910886,42.87649467266489,87.10741519077256,87.64189020088799,-1.3544258454427762
2022-02-01,Indiranagar,100 Feet Road,34763,44.13473732017407,1.5,100.0,100.0,2,119.526,40.12425726605403,66.61999098654623,85.33020644971089,101,Clear,No,2022,2,1,Tuesday,0,1,1,22992.0,20961.0,29609.14285714286,85.75298934532978,64.29477392892129,80.56627235069857,44.05376207350711,20.0,37.123837603560936,1.269589428995601,33.333333333333336,87.10741519077256,87.64189020088799,12.892584809227444
2022-02-02,Indiranagar,100 Feet Road,25267,28.018003253889503,1.5,82.73344651877018,100.0,0,100.534,12.41019160013202,77.83302199308065,90.83276216008116,114,Clear,No,2022,2,2,Wednesday,0,1,2,34763.0,22812.0,31580.85714285714,100.0,77.5189973213802,85.66701893228125,44.13473732017407,43.93778506157989,40.57165722072865,1.108877320373986,82.73344651877018,87.10741519077256,87.64189020088799,-4.373968672002377
2022-02-03,Indiranagar,100 Feet Road,27713,30.182340289065248,1.5,97.03987422940266,100.0,2,105.426,38.39516816130663,66.76647575369681,98.87282815919212,112,Rain,No,2022,2,3,Thursday,0,1,3,25267.0,50653.0,31931.571428571428,82.73344651877018,100.0,86.4119402461941,28.018003253889503,27.757534679416597,38.29740267677289,1.089104041030031,32.34662474313422,87.10741519077256,87.64189020088799,9.9324590386301
2022-02-04,Indiranagar,100 Feet Road,36972,57.78243070582276,1.5,100.0,100.0,2,123.944,45.28929893429069,72.91239173791402,62.90538215867073,99,Overcast,No,2022,2,4,Friday,0,1,4,27713.0,22144.0,28654.428571428572,97.03987422940266,72.10984644376038,85.98906513610878,30.182340289065248,42.60623148491085,38.64380347815126,1.562870028827836,33.333333333333336,87.10741519077256,87.64189020088799,12.892584809227444
2022-02-06,Indiranagar,100 Feet Road,37265,48.10191908080897,1.5,100.0,100.0,3,124.53,16.549158483863486,60.66686202398533,93.67671321226072,92,Fog,No,2022,2,6,Sunday,1,1,6,36972.0,21212.0,30772.714285714286,100.0,64.28729941549834,89.97337278700014,57.78243070582276,39.33871411392432,40.81183193828154,1.2908068987202193,25.0,87.10741519077256,87.64189020088799,12.892584809227444
2022-02-07,Indiranagar,100 Feet Road,48104,31.96435674734085,1.5,100.0,100.0,0,146.208,57.91047527485152,80.12881659434538,88.2574424930632,100,Rain,No,2022,2,0,Monday,0,1,7,37265.0,46490.0,33066.0,100.0,100.0,95.07518715621465,48.10191908080897,42.17283581158776,42.0637183621222,0.6644843827403304,100.0,87.10741519077256,87.64189020088799,12.892584809227444
2022-02-08,Indiranagar,100 Feet Road,22330,30.50849476887113,1.3025240387921175,75.22656911139637,100.0,0,94.66,17.16325256738442,76.41994854789517,96.65964585245092,104,Clear,No,2022,2,1,Tuesday,0,1,8,48104.0,22992.0,33296.57142857143,100.0,85.75298934532978,95.07518715621465,31.96435674734085,44.05376207350711,40.605364210086925,1.3662559233708524,75.22656911139637,87.10741519077256,87.64189020088799,-11.880846079376184
2022-02-09,Indiranagar,100 Feet Road,11122,20.954504741496105,1.0210839159413756,27.82465792421295,57.78181447046758,0,72.244,45.60941889513867,69.72498121690674,87.2375365814961,184,Clear,No,2022,2,2,Wednesday,0,1,9,22330.0,34763.0,33202.0,75.22656911139637,100.0,93.57141283708131,30.50849476887113,44.13473732017407,38.67032602371036,1.8840590488667601,27.82465792421295,87.10741519077256,87.64189020088799,-59.28275726655961
2022-02-11,Indiranagar,100 Feet Road,44136,29.61426326703376,1.5,100.0,100.0,1,138.272,19.448494025014945,71.84707062235994,78.61419072710007,98,Fog,No,2022,2,4,Friday,0,1,11,11122.0,25267.0,29824.714285714286,27.82465792421295,82.73344651877018,83.26064968339745,20.954504741496105,28.018003253889503,35.358864226756374,0.6709775074096828,50.0,87.10741519077256,87.64189020088799,12.892584809227444
2022-02-12,Indiranagar,100 Feet Road,23302,25.418245711169877,1.1142318464954546,86.90556217842227,100.0,0,96.604,46.87720162352894,62.283963137807056,55.52715831542903,91,Clear,No,2022,2,5,Saturday,1,1,12,44136.0,27713.0,32520.285714285714,100.0,97.03987422940266,85.727300180716,29.61426326703376,30.182340289065248,35.586901371491265,1.0908182006338458,86.90556217842227,87.10741519077256,87.64189020088799,-0.2018530123502842
2022-02-13,Indiranagar,100 Feet Road,40743,30.9333155812308,1.5,100.0,100.0,0,131.486,23.58901393121805,81.46430037055097,96.74110202219006,111,Clear,No,2022,2,6,Sunday,1,1,13,23302.0,36972.0,31890.14285714286,86.90556217842227,100.0,84.27954131629022,25.418245711169877,57.78243070582276,34.90631643179192,0.7592301887742876,100.0,87.10741519077256,87.64189020088799,12.892584809227444
2022-02-14,Indiranagar,100 Feet Road,40343,44.38640022678945,1.5,100.0,100.0,2,130.686,26.923515523577716,79.32056451375801,94.34157697344796,96,Clear,No,2022,2,0,Monday,0,1,14,40743.0,37265.0,32428.85714285714,100.0,100.0,84.27954131629022,30.9333155812308,48.10191908080897,31.070728556850213,1.1002255713950237,33.333333333333336,87.10741519077256,87.64189020088799,12.892584809227444
2022-02-16,Indiranagar,100 Feet Road,38008,38.12996304534828,1.5,100.0,100.0,0,126.016,71.00862995207734,77.86958101245571,67.14832598500391,87,Clear,No,2022,2,2,Wednesday,0,1,16,40343.0,48104.0,32868.57142857143,100.0,100.0,84.27954131629022,44.38640022678945,31.96435674734085,30.53994014913314,1.0032088782716344,100.0,87.10741519077256,87.64189020088799,12.892584809227444
2022-02-17,Indiranagar,100 Feet Road,35163,55.53140183741208,1.5,100.0,100.0,3,120.326,29.41987143606854,85.7120820064833,84.64005993149544,113,Fog,No,2022,2,3,Thursday,0,1,17,38008.0,22330.0,31426.285714285714,100.0,75.22656911139637,84.27954131629022,38.12996304534828,30.50849476887113,31.420741048848488,1.5792566572082043,25.0,87.10741519077256,87.64189020088799,12.892584809227444
2022-02-18,Indiranagar,100 Feet Road,33207,50.27429386880181,1.5,100.0,100.0,1,116.414,42.52826279116155,92.82943363262922,80.72705091106577,111,Clear,Yes,2022,2,4,Friday,0,1,18,35163.0,11122.0,33259.57142857143,100.0,27.82465792421295,87.81860287180503,55.53140183741208,20.954504741496105,34.99544205864005,1.5139667500467315,50.0,87.10741519077256,87.64189020088799,12.892584809227444
2022-02-19,Indiranagar,100 Feet Road,38723,40.06420774997031,1.5,100.0,100.0,2,127.446,31.96475003140101,65.6737759046794,60.690060533136645,85,Rain,No,2022,2,5,Saturday,1,1,19,33207.0,44136.0,36414.57142857143,100.0,100.0,98.12936602548889,50.27429386880181,29.61426326703376,39.183983362540864,1.0346359463360357,33.333333333333336,87.10741519077256,87.64189020088799,12.892584809227444
2022-02-21,Indiranagar,100 Feet Road,12061,28.7753466910744,1.151983980903901,39.17303789338601,65.11148219564049,0,74.122,41.65280575520755,65.34062205411279,52.39788662184938,212,Fog,No,2022,2,0,Monday,0,1,21,38723.0,23302.0,35641.28571428572,100.0,86.90556217842227,98.12936602548889,40.06420774997031,25.418245711169877,40.67683257438894,2.385817651195954,39.17303789338601,87.10741519077256,87.64189020088799,-47.93437729738655
2022-02-22,Indiranagar,100 Feet Road,49188,51.67256841749534,1.5,100.0,100.0,3,148.376,70.286255908227,66.18739392739445,72.57735114087123,97,Clear,No,2022,2,1,Tuesday,0,1,22,12061.0,40743.0,34035.42857142857,39.17303789338601,100.0,91.31043398476945,28.7753466910744,30.9333155812308,41.15641842866102,1.0505116780006372,25.0,87.10741519077256,87.64189020088799,12.892584809227444
2022-02-23,Indiranagar,100 Feet Road,22280,36.094311894089856,1.222494557610309,72.49488530187597,100.0,0,94.56,78.15844943951392,69.22554560857056,88.64369681909265,95,Overcast,No,2022,2,2,Wednesday,0,1,23,49188.0,40343.0,35241.857142857145,100.0,100.0,91.31043398476945,51.67256841749534,44.38640022678945,44.11916883384167,1.6200319521584314,72.49488530187597,87.10741519077256,87.64189020088799,-14.612529888896589
2022-02-24,Indiranagar,100 Feet Road,48571,20.0,1.5,100.0,100.0,4,147.142,14.672517839552984,64.65782096338846,79.82372887719762,93,Clear,No,2022,2,3,Thursday,0,1,24,22280.0,38008.0,32661.428571428572,72.49488530187597,100.0,87.38113188503743,36.094311894089856,38.12996304534828,42.93458478631315,0.4117683391324041,20.0,87.10741519077256,87.64189020088799,12.892584809227444
2022-02-25,Indiranagar,100 Feet Road,36474,35.33443467973151,1.5,100.0,100.0,4,122.948,77.32337348418281,76.63144248276731,80.05413326966078,92,Clear,No,2022,2,4,Friday,0,1,25,48571.0,35163.0,34170.42857142857,100.0,100.0,87.38113188503743,20.0,55.53140183741208,40.34459006554912,0.9687567768748016,20.0,87.10741519077256,87.64189020088799,12.892584809227444
2022-02-26,Indiranagar,100 Feet Road,10949,35.27701755265166,1.0584067622368434,32.28023174379553,52.84265314142903,0,71.898,56.45931352483792,75.24402054447256,85.97351156566906,193,Clear,Yes,2022,2,5,Saturday,1,1,26,36474.0,33207.0,34357.71428571428,100.0,100.0,87.38113188503743,35.33443467973151,50.27429386880181,37.45930904302332,3.221939679664961,32.28023174379553,87.10741519077256,87.64189020088799,-54.827183446977024
2022-02-27,Indiranagar,100 Feet Road,44916,49.34408045034828,1.5,100.0,100.0,2,139.832,58.084919174201175,71.76013554379813,77.99465507679747,94,Clear,No,2022,2,6,Sunday,1,1,27,10949.0,38723.0,31178.0,32.28023174379553,100.0,77.70687927700821,35.27701755265166,40.06420774997031,35.31684099785901,1.098585814639511,33.333333333333336,87.10741519077256,87.64189020088799,12.892584809227444
2022-02-28,Indiranagar,100 Feet Road,36715,52.84882399032351,1.5,100.0,100.0,3,123.43,42.24794814374936,95.6329652604251,54.72312129005434,96,Clear,No,2022,2,0,Monday,0,1,28,44916.0,12061.0,32062.714285714286,100.0,39.17303789338601,77.70687927700821,49.34408045034828,28.7753466910744,36.64253709791301,1.4394341274771485,25.0,87.10741519077256,87.64189020088799,12.892584809227444
2022-03-01,Indiranagar,100 Feet Road,26871,20.0,1.5,98.53106563705782,100.0,2,103.742,11.678281316357218,72.52101418806325,90.99340737635023,101,Clear,No,2022,3,1,Tuesday,0,1,1,36715.0,49188.0,35584.71428571428,100.0,100.0,86.3964452922388,52.84882399032351,51.67256841749534,40.08160528352003,0.744296825574039,32.84368854568594,87.10741519077256,87.64189020088799,11.423650446285265
2022-03-02,Indiranagar,100 Feet Road,24147,56.93586535476262,1.3733105649516266,86.61033009206137,100.0,0,98.294,39.94764196467749,67.89945126608129,95.5398955524434,89,Clear,No,2022,3,2,Wednesday,0,1,2,26871.0,22280.0,32396.571428571428,98.53106563705782,72.49488530187597,86.18659752610418,20.0,36.094311894089856,35.556952652449255,2.357885673365744,86.61033009206137,87.10741519077256,87.64189020088799,-0.49708509871118167
2022-03-03,Indiranagar,100 Feet Road,49220,36.63286053080133,1.5,100.0,100.0,0,148.44,10.487031111230383,69.6050648180608,55.04035985695426,93,Clear,No,2022,3,3,Thursday,0,1,3,24147.0,48571.0,32663.285714285714,86.61033009206137,100.0,88.2030896389878,56.93586535476262,20.0,38.53431743254537,0.7442677881105513,100.0,87.10741519077256,87.64189020088799,12.892584809227444
2022-03-04,Indiranagar,100 Feet Road,38842,41.7469497780862,1.5,100.0,100.0,3,127.684,65.97050508714021,83.22479041929415,88.65450708085561,95,Clear,No,2022,3,4,Friday,0,1,4,49220.0,36474.0,32756.0,100.0,100.0,88.2030896389878,36.63286053080133,35.33443467973151,40.91044036551698,1.074788882603527,25.0,87.10741519077256,87.64189020088799,12.892584809227444
2022-03-05,Indiranagar,100 Feet Road,13161,40.63433948570334,1.1465012023993897,45.90097012759412,66.86816947374533,0,76.322,73.31317490969013,80.1291338154447,73.23921029687504,185,Overcast,No,2022,3,5,Saturday,1,1,5,38842.0,10949.0,33094.28571428572,100.0,32.28023174379553,88.2030896389878,41.7469497780862,35.27701755265166,41.82651395099623,3.087481155360789,45.90097012759412,87.10741519077256,87.64189020088799,-41.206445063178435
2022-03-06,Indiranagar,100 Feet Road,40234,20.0,1.5,100.0,100.0,0,130.46800000000002,72.44784109837569,61.231324089505605,87.41981781048716,78,Clear,No,2022,3,6,Sunday,1,1,6,13161.0,44916.0,33410.28571428572,45.90097012759412,100.0,90.1489094081019,40.63433948570334,49.34408045034828,42.5918456557179,0.49709201173137146,100.0,87.10741519077256,87.64189020088799,12.892584809227444
2022-03-07,Indiranagar,100 Feet Road,24956,39.22771274289429,1.091594874120125,83.71951193717062,100.0,4,99.912,39.85106640000122,84.24774149696562,77.88823795490309,104,Rain,No,2022,3,0,Monday,0,1,7,40234.0,36715.0,32741.428571428572,100.0,100.0,90.1489094081019,20.0,52.84882399032351,38.399834162811,1.5718750097329015,16.743902387434126,87.10741519077256,87.64189020088799,-3.387903253601934
2022-03-08,Indiranagar,100 Feet Road,21726,32.253887086398265,1.272063418703551,63.58267582053657,100.0,0,93.452,79.97712436694646,66.86090775148747,88.57732286561887,91,Overcast,No,2022,3,1,Tuesday,0,1,8,24956.0,26871.0,31061.571428571428,83.71951193717062,98.53106563705782,87.82312539912628,39.22771274289429,20.0,36.45396112746396,1.4845754895700205,63.58267582053657,87.10741519077256,87.64189020088799,-23.524739370235984
2022-03-09,Indiranagar,100 Feet Road,34407,22.847274237731064,1.5,100.0,100.0,3,118.814,69.58975485515717,91.02618541304132,64.40747445166875,95,Clear,No,2022,3,2,Wednesday,0,1,9,21726.0,24147.0,30326.571428571428,63.58267582053657,86.61033009206137,82.8304982824804,32.253887086398265,56.93586535476262,38.204516425520865,0.6640298264228519,25.0,87.10741519077256,87.64189020088799,12.892584809227444
2022-03-10,Indiranagar,100 Feet Road,36665,21.171040807274625,1.5,100.0,100.0,0,123.33,76.79809090607169,65.69144874443744,85.42391265684176,81,Clear,No,2022,3,3,Thursday,0,1,10,34407.0,49220.0,31792.285714285714,100.0,100.0,84.74330826932876,22.847274237731064,36.63286053080133,33.33471769451636,0.5774182683015036,100.0,87.10741519077256,87.64189020088799,12.892584809227444
2022-03-11,Indiranagar,100 Feet Road,24681,52.43715820399812,1.136366563676836,83.14068756748247,100.0,2,99.362,33.46562261495002,61.681791843037786,79.91188799259483,112,Fog,No,2022,3,4,Friday,0,1,11,36665.0,38842.0,29998.714285714286,100.0,100.0,84.74330826932876,21.171040807274625,41.7469497780862,31.12588630544111,2.1245961753574862,27.713562522494158,87.10741519077256,87.64189020088799,-3.966727623290083
2022-03-12,Indiranagar,100 Feet Road,22597,34.67994343667627,1.246753628786558,76.00536713505065,100.0,1,95.194,45.17707386911589,70.84711142844813,97.38012508038612,99,Fog,No,2022,3,5,Saturday,1,1,12,24681.0,13161.0,27975.714285714286,83.14068756748247,45.90097012759412,82.3348350646834,52.43715820399812,40.63433948570334,32.65305893771425,1.534714494697361,38.002683567525324,87.10741519077256,87.64189020088799,-11.102048055721909
2022-03-13,Indiranagar,100 Feet Road,37514,32.722789969219136,1.5,100.0,100.0,3,125.028,75.51686076100223,66.58964153453087,52.10752084814671,99,Fog,No,2022,3,6,Sunday,1,1,13,22597.0,40234.0,29323.714285714286,76.00536713505065,100.0,86.63546320860576,34.67994343667627,20.0,31.80243093071038,0.8722820805357768,25.0,87.10741519077256,87.64189020088799,12.892584809227444
2022-03-14,Indiranagar,100 Feet Road,20041,65.26817116042392,1.351103336877093,58.803966754676416,97.7824006131152,1,90.082,32.453508981519015,75.48621576215933,81.1296898281345,98,Clear,No,2022,3,0,Monday,0,1,14,37514.0,24956.0,28935.14285714286,100.0,83.71951193717062,86.63546320860576,32.722789969219136,39.22771274289429,33.61997235488454,3.256732256894562,29.401983377338208,87.10741519077256,87.64189020088799,-28.30344843609614
2022-03-15,Indiranagar,100 Feet Road,21835,41.61330946116242,1.1507278424591882,75.34698542354043,100.0,1,93.67,52.98218389140554,94.43420112173794,87.66067193694386,101,Clear,No,2022,3,1,Tuesday,0,1,15,20041.0,21726.0,28233.0,58.803966754676416,63.58267582053657,83.07609961110659,65.26817116042392,32.253887086398265,37.340037843103055,1.9058076235934245,37.673492711770216,87.10741519077256,87.64189020088799,-11.760429767232125
2022-03-17,Indiranagar,100 Feet Road,36346,34.702335116635986,1.5,100.0,100.0,2,122.692,79.26953657664647,66.30754688292589,75.81699094191633,109,Clear,No,2022,3,3,Thursday,0,1,17,21835.0,34407.0,28248.571428571428,75.34698542354043,100.0,84.75671526867856,41.61330946116242,22.847274237731064,38.677098182355074,0.9547772826895942,33.333333333333336,87.10741519077256,87.64189020088799,12.892584809227444
2022-03-18,Indiranagar,100 Feet Road,34188,49.58657522937662,1.5,100.0,100.0,2,118.376,57.7929847313464,77.08812109127338,79.57643986776864,107,Overcast,No,2022,3,4,Friday,0,1,18,36346.0,36665.0,28525.571428571428,100.0,100.0,84.75671526867856,34.702335116635986,21.171040807274625,40.37067830791292,1.450408775868042,33.333333333333336,87.10741519077256,87.64189020088799,12.892584809227444
2022-03-19,Indiranagar,100 Feet Road,24566,43.97943609371152,1.2080359750423335,79.90065229153171,100.0,2,99.132,50.94552828373335,86.60816413924269,85.63590014792749,114,Clear,No,2022,3,5,Saturday,1,1,19,34188.0,24681.0,28171.714285714286,100.0,83.14068756748247,84.75671526867856,49.58657522937662,52.43715820399812,44.43004036821321,1.7902562929948516,26.633550763843903,87.10741519077256,87.64189020088799,-7.206762899240843
2022-03-20,Indiranagar,100 Feet Road,52168,37.33285041087872,1.5,100.0,100.0,1,154.336,12.80137485173042,68.03404864204465,59.300421592799765,92,Clear,No,2022,3,6,Sunday,1,1,20,24566.0,22597.0,28155.285714285714,79.90065229153171,76.00536713505065,84.29385308639988,43.97943609371152,34.67994343667627,43.221794352457984,0.71562740398096,50.0,87.10741519077256,87.64189020088799,12.892584809227444
